"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"525","LgYghvu6Vj4","I’m totally making this!!! Can’t wait.","I’m totally making this!!! Can’t wait.","Lisa Brandi","https://yt3.ggpht.com/ytc/AAUvwngH-KKg2i3i-0npW-Gq_3CSRIspDaFDyz0HT5ch=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzj31pP6SOKt2cKBh8RgtlQ","UCzj31pP6SOKt2cKBh8RgtlQ","TRUE","none","1","2019-04-05T18:41:05Z","2019-04-05T18:41:05Z","UgxZdXTBZMcHMKZZ27l4AaABAg",NA,NA
"526","LgYghvu6Vj4","I love this recipe Dani!!  I was thinking that the tofu was going to get absolutely squished - but it didn&#39;t!  I&#39;ll have to try this with the sheet and a couple cast-iron pans.  I&#39;m loving the recipe for the BBQ tofu sauce..yum.  Thanks!","I love this recipe Dani!!  I was thinking that the tofu was going to get absolutely squished - but it didn't!  I'll have to try this with the sheet and a couple cast-iron pans.  I'm loving the recipe for the BBQ tofu sauce..yum.  Thanks!","A Real Kitchn","https://yt3.ggpht.com/ytc/AAUvwniYvnDlyV7o6KAqi-0QTHSdqMfaCAZ-Mtw8s2hHiQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXEWdw8CD1wlE3gyk9C-rXQ","UCXEWdw8CD1wlE3gyk9C-rXQ","TRUE","none","2","2019-04-05T18:36:56Z","2019-04-05T18:36:56Z","UgyypwyDM5dy2u517Wp4AaABAg",NA,NA
"527","LgYghvu6Vj4","I recently found a neat tofu hack for giving it a more meaty or firm texture.  After draining the tofu, freeze it and when you thaw it back out so much more water is released. Gives it a nice texture.","I recently found a neat tofu hack for giving it a more meaty or firm texture.  After draining the tofu, freeze it and when you thaw it back out so much more water is released. Gives it a nice texture.","Kitt","https://yt3.ggpht.com/ytc/AAUvwng3XY-ivfEOvofqphnh-nmzZ87v-8VM5D6dU0-V=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiu13NkwNFgCxIAGrOt8oCw","UCiu13NkwNFgCxIAGrOt8oCw","TRUE","none","812","2019-04-05T18:36:42Z","2019-04-05T18:36:42Z","UgygaNEkPIwiFxw5QFp4AaABAg",NA,NA
"528","LgYghvu6Vj4","@ <a href=""https://www.youtube.com/watch?v=LgYghvu6Vj4&amp;t=2m24s"">2:24</a>, you say to put another TABLE on top. What if I don&#39;t have another table ?? Great videos, please keep up the good work.","@ 2:24, you say to put another TABLE on top. What if I don't have another table ?? Great videos, please keep up the good work.","edwin outlaw","https://yt3.ggpht.com/ytc/AAUvwngtjmVjGZpqNsp4nNCBNH_e8afhu_c2lKpnow=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCye6brxdM4mehqIcKTw71_g","UCye6brxdM4mehqIcKTw71_g","TRUE","none","2","2019-04-05T18:31:18Z","2019-04-05T18:31:18Z","UgxYMrpBIvln_4khmlZ4AaABAg",NA,NA
"529","LgYghvu6Vj4","Love them all.  And I would add Trader Joe&#39;s Everything bagel spice miix to the teriyaki tofu bites!","Love them all.  And I would add Trader Joe's Everything bagel spice miix to the teriyaki tofu bites!","Patrica Romboletti","https://yt3.ggpht.com/ytc/AAUvwniaJ2KBwREcthgOwfUPVo6Zabfa70wcX6E3dewEQg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_KagrBIfz2_E0iy0e5ms-A","UC_KagrBIfz2_E0iy0e5ms-A","TRUE","none","2","2019-04-05T18:20:48Z","2019-04-05T18:20:48Z","UgybqBcaQolYQP4WXEp4AaABAg",NA,NA
"530","LgYghvu6Vj4","Would almond flour work?","Would almond flour work?","Ginny Rabb","https://yt3.ggpht.com/ytc/AAUvwnh0TkllpIcPxj2fbIKaTTOo8RY9CyPe2lPBvg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRY5TMxlF03jXjysvkSsvlQ","UCRY5TMxlF03jXjysvkSsvlQ","TRUE","none","1","2019-04-05T18:15:58Z","2019-04-05T18:15:58Z","UgyxfZ4Lwl6Q29Ci9WN4AaABAg",NA,NA
"531","LgYghvu6Vj4","Buffalo Tofu sounds absolutely incredible! Thanks for the tip","Buffalo Tofu sounds absolutely incredible! Thanks for the tip","Quade Carter","https://yt3.ggpht.com/ytc/AAUvwnhwZl6hX2beVoAcj95BcNFQD7I-fTsKeCcQPZpqFw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJUdG7U_H9dkZItesnvRakw","UCJUdG7U_H9dkZItesnvRakw","TRUE","none","11","2019-04-05T18:11:39Z","2019-04-05T18:11:39Z","UgybeoGZFhWlZBkPGyF4AaABAg",NA,NA
"532","LgYghvu6Vj4","Thank you for sharing  new Tofu recipes.  This is one that is hard to decide how to make.","Thank you for sharing  new Tofu recipes.  This is one that is hard to decide how to make.","Tina's Tiny Living","https://yt3.ggpht.com/ytc/AAUvwni4jmiplzNGhjok1AlUehESI4Twn1dhToCRDLiZ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_rcjjt0zDFyzcH3rx-V83Q","UC_rcjjt0zDFyzcH3rx-V83Q","TRUE","none","1","2019-04-05T17:55:57Z","2019-04-05T17:55:57Z","UgzO_8e1D8QbN6hPcKt4AaABAg",NA,NA
"533","LgYghvu6Vj4","Yasssss","Yasssss","Mariela Santana","https://yt3.ggpht.com/ytc/AAUvwnjZOw8kz_v7gyhBLeKK2ahkoCjMaLqvqwfZNn_Jjw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCg12Oh69-Po_9tfh1hHtLdw","UCg12Oh69-Po_9tfh1hHtLdw","TRUE","none","1","2019-04-05T17:37:49Z","2019-04-05T17:37:49Z","UgzDPrENPY7-ztXzkJR4AaABAg",NA,NA
"534","LgYghvu6Vj4","I can&#39;t wait to make these!!!","I can't wait to make these!!!","Claire Dahlman","https://yt3.ggpht.com/ytc/AAUvwnjGPODxiGfZNOkf9q4p54QgZkV3Asasmszuy1wPMA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6oVnNGSsi84teVi-5bDzxQ","UC6oVnNGSsi84teVi-5bDzxQ","TRUE","none","1","2019-04-05T17:35:39Z","2019-04-05T17:35:39Z","UgwAKL4DWNh5BYDKEDN4AaABAg",NA,NA
"535","LgYghvu6Vj4","Yummy <U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>","Yummy <U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>","Haider Playz","https://yt3.ggpht.com/ytc/AAUvwniQlWvqDLQrhE0tuxjstn0a38Qq6LR9O7xI6fDN_w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAqfCY_RhQIjT3cBBspDeYQ","UCAqfCY_RhQIjT3cBBspDeYQ","TRUE","none","1","2019-04-05T17:28:09Z","2019-04-05T17:28:09Z","Ugzj2FPjzUfi6-qD_Gp4AaABAg",NA,NA
"536","LgYghvu6Vj4","thank you so much.  My mom would fix Tofu a lot----but unfortunately I never learned from her how to fix it.  She is no longer with me, so when I fix this, I know she is smiling some where.","thank you so much.  My mom would fix Tofu a lot----but unfortunately I never learned from her how to fix it.  She is no longer with me, so when I fix this, I know she is smiling some where.","BJ Hamby Stazenski","https://yt3.ggpht.com/ytc/AAUvwnjxClm3wCcJ5ASxLrypUU2-5kqFII-xGaMTdA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUg0PJwu1FPZAdv7JjRJ--w","UCUg0PJwu1FPZAdv7JjRJ--w","TRUE","none","2","2019-04-05T17:25:58Z","2019-04-05T17:25:58Z","UgwcQnIJ5zg1uMIg9254AaABAg",NA,NA
"537","LgYghvu6Vj4","This is awesome.  I have been wanting to learn how to make tofu.  Your videos are the best! Thank you.","This is awesome.  I have been wanting to learn how to make tofu.  Your videos are the best! Thank you.","Gluten Free Jersey Girl","https://yt3.ggpht.com/ytc/AAUvwngasbIxMub_COmovxJ5BgFAg6-riEnbInJPMGFSpA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWiCYbqQigYEZXczUrbUB3g","UCWiCYbqQigYEZXczUrbUB3g","TRUE","none","1","2019-04-05T17:20:50Z","2019-04-05T17:20:50Z","Ugziv3Rz7_gWDpIK0ZB4AaABAg",NA,NA
"538","LgYghvu6Vj4","Love your tshirt / sweater <U+0001F60D><U+2764><U+FE0F><U+0001F60D><U+2764><U+FE0F><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><br />Liked the video before the recipe instructions began <U+0001F923><U+0001F923>","Love your tshirt / sweater <U+0001F60D><U+2764><U+FE0F><U+0001F60D><U+2764><U+FE0F><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>
Liked the video before the recipe instructions began <U+0001F923><U+0001F923>","Dona Mitra","https://yt3.ggpht.com/ytc/AAUvwnh2CelF0J0q6pVYT4wLHB_1gLAySa0g21N74Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSypfJ_03aBURN5Y6LzLn2g","UCSypfJ_03aBURN5Y6LzLn2g","TRUE","none","2","2019-04-05T17:16:33Z","2019-04-05T17:16:33Z","UgwyFihd3MfgoczNFp14AaABAg",NA,NA
"539","LgYghvu6Vj4","I&#39;m definitely going to make this some time soon! But I noticed that on the website, this recipe doesn&#39;t have the nutritional facts at the bottom like most. I&#39;m on a calorie counting diet and I love your website for precisely this reason! Please add that soon &lt;3","I'm definitely going to make this some time soon! But I noticed that on the website, this recipe doesn't have the nutritional facts at the bottom like most. I'm on a calorie counting diet and I love your website for precisely this reason! Please add that soon <3","My Strain","https://yt3.ggpht.com/ytc/AAUvwnhFD0fqFtS_eAE9Tv58wgoB5N-Si0eR7itwGFuo=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-yVsZn19qjhfgCKeAKm9Aw","UC-yVsZn19qjhfgCKeAKm9Aw","TRUE","none","1","2019-04-05T17:15:54Z","2019-04-05T17:15:54Z","Ugw4RF8SddCSN3wnYhp4AaABAg",NA,NA
